Affinity,Benchmark,Class,Experiment,Iteration,Threads,Time
compact,bt,A,r12_r13_r14_to_temp,1.0,10,22.64
compact,lu,A,r12_r13_r14_to_temp,3.0,2,23.61
compact,ft,A,r12_r13_r14_to_temp,2.0,1,2.71
compact,cg,A,r12_r13_r14_to_temp,3.0,14,0.15
scatter,lu,A,r12_r13_r14_to_temp,1.0,8,5.01
scatter,bt,A,r12_r13_r14_to_temp,2.0,8,14.21
compact,ep,A,r12_r13_r14_to_temp,2.0,6,4.82
scatter,lu,A,r12_r13_r14_to_temp,2.0,1,29.49
compact,ep,A,r12_r13_r14_to_temp,1.0,6,5.01
scatter,sp,A,r12_r13_r14_to_temp,3.0,8,5.94
compact,is,A,r12_r13_r14_to_temp,1.0,6,0.12
scatter,ep,A,r12_r13_r14_to_temp,1.0,4,6.46
compact,mg,A,r12_r13_r14_to_temp,2.0,6,0.38
compact,cg,A,r12_r13_r14_to_temp,3.0,10,0.19
compact,cg,A,r12_r13_r14_to_temp,2.0,16,0.14
compact,mg,A,r12_r13_r14_to_temp,2.0,12,0.27
compact,sp,A,r12_r13_r14_to_temp,2.0,12,7.99
compact,ft,A,r12_r13_r14_to_temp,2.0,16,0.42
scatter,ft,A,r12_r13_r14_to_temp,1.0,8,0.49
compact,ft,A,r12_r13_r14_to_temp,3.0,1,2.71
scatter,is,A,r12_r13_r14_to_temp,2.0,6,0.08
compact,lu,A,r12_r13_r14_to_temp,3.0,6,9.18
scatter,ft,A,r12_r13_r14_to_temp,1.0,6,0.61
compact,mg,A,r12_r13_r14_to_temp,2.0,8,0.32
compact,sp,A,r12_r13_r14_to_temp,3.0,4,16.58
scatter,bt,A,r12_r13_r14_to_temp,3.0,6,19.35
scatter,sp,A,r12_r13_r14_to_temp,2.0,1,31.46
compact,sp,A,r12_r13_r14_to_temp,1.0,6,12.36
compact,cg,A,r12_r13_r14_to_temp,2.0,12,0.16
compact,ft,A,r12_r13_r14_to_temp,1.0,14,0.47
compact,mg,A,r12_r13_r14_to_temp,3.0,1,1.08
compact,ep,A,r12_r13_r14_to_temp,1.0,16,2.18
compact,ep,A,r12_r13_r14_to_temp,3.0,4,6.86
scatter,ft,A,r12_r13_r14_to_temp,3.0,4,0.76
scatter,ft,A,r12_r13_r14_to_temp,2.0,4,0.76
scatter,ep,A,r12_r13_r14_to_temp,3.0,4,6.45
compact,ft,A,r12_r13_r14_to_temp,2.0,10,0.59
compact,is,A,r12_r13_r14_to_temp,3.0,12,0.07
compact,is,A,r12_r13_r14_to_temp,2.0,4,0.16
scatter,cg,A,r12_r13_r14_to_temp,1.0,1,1.04
scatter,ft,A,r12_r13_r14_to_temp,3.0,2,1.38
scatter,mg,A,r12_r13_r14_to_temp,3.0,4,0.32
compact,mg,A,r12_r13_r14_to_temp,2.0,4,0.5
compact,sp,A,r12_r13_r14_to_temp,2.0,14,7.27
compact,ft,A,r12_r13_r14_to_temp,3.0,16,0.42
compact,bt,A,r12_r13_r14_to_temp,3.0,6,30.85
compact,is,A,r12_r13_r14_to_temp,1.0,1,0.36
compact,cg,A,r12_r13_r14_to_temp,1.0,6,0.27
scatter,lu,A,r12_r13_r14_to_temp,3.0,6,6.63
compact,lu,A,r12_r13_r14_to_temp,3.0,16,4.71
scatter,lu,A,r12_r13_r14_to_temp,3.0,2,15.1
scatter,cg,A,r12_r13_r14_to_temp,3.0,4,0.29
compact,is,A,r12_r13_r14_to_temp,3.0,4,0.16
compact,bt,A,r12_r13_r14_to_temp,3.0,4,42.76
scatter,ep,A,r12_r13_r14_to_temp,3.0,6,5.04
compact,ft,A,r12_r13_r14_to_temp,3.0,8,0.64
compact,cg,A,r12_r13_r14_to_temp,2.0,10,0.19
scatter,is,A,r12_r13_r14_to_temp,1.0,2,0.19
compact,ep,A,r12_r13_r14_to_temp,3.0,12,2.94
compact,sp,A,r12_r13_r14_to_temp,3.0,8,9.32
scatter,bt,A,r12_r13_r14_to_temp,1.0,1,86.78
compact,bt,A,r12_r13_r14_to_temp,3.0,8,23.17
scatter,cg,A,r12_r13_r14_to_temp,3.0,2,0.55
scatter,ft,A,r12_r13_r14_to_temp,1.0,4,0.76
scatter,cg,A,r12_r13_r14_to_temp,1.0,6,0.23
compact,bt,A,r12_r13_r14_to_temp,2.0,1,86.83
compact,lu,A,r12_r13_r14_to_temp,2.0,4,12.94
compact,sp,A,r12_r13_r14_to_temp,2.0,16,6.23
compact,ft,A,r12_r13_r14_to_temp,1.0,12,0.52
compact,bt,A,r12_r13_r14_to_temp,2.0,14,16.24
scatter,cg,A,r12_r13_r14_to_temp,1.0,8,0.18
compact,bt,A,r12_r13_r14_to_temp,3.0,1,86.72
compact,bt,A,r12_r13_r14_to_temp,1.0,4,42.79
compact,lu,A,r12_r13_r14_to_temp,1.0,12,6.23
compact,ft,A,r12_r13_r14_to_temp,3.0,12,0.51
compact,cg,A,r12_r13_r14_to_temp,3.0,16,0.14
compact,lu,A,r12_r13_r14_to_temp,1.0,14,5.41
scatter,sp,A,r12_r13_r14_to_temp,1.0,6,7.51
scatter,ep,A,r12_r13_r14_to_temp,3.0,8,3.77
compact,ft,A,r12_r13_r14_to_temp,2.0,8,0.64
scatter,sp,A,r12_r13_r14_to_temp,1.0,2,16.15
compact,lu,A,r12_r13_r14_to_temp,2.0,14,5.49
compact,mg,A,r12_r13_r14_to_temp,2.0,16,0.25
scatter,ep,A,r12_r13_r14_to_temp,2.0,8,3.76
compact,mg,A,r12_r13_r14_to_temp,2.0,10,0.29
compact,is,A,r12_r13_r14_to_temp,3.0,2,0.32
compact,lu,A,r12_r13_r14_to_temp,1.0,1,29.4
scatter,cg,A,r12_r13_r14_to_temp,2.0,8,0.18
compact,cg,A,r12_r13_r14_to_temp,2.0,6,0.27
scatter,lu,A,r12_r13_r14_to_temp,1.0,6,6.64
compact,mg,A,r12_r13_r14_to_temp,1.0,14,0.26
scatter,sp,A,r12_r13_r14_to_temp,3.0,1,31.59
scatter,mg,A,r12_r13_r14_to_temp,2.0,6,0.27
compact,bt,A,r12_r13_r14_to_temp,3.0,14,16.2
compact,lu,A,r12_r13_r14_to_temp,2.0,16,4.71
compact,bt,A,r12_r13_r14_to_temp,1.0,6,30.83
scatter,cg,A,r12_r13_r14_to_temp,3.0,1,1.03
compact,ep,A,r12_r13_r14_to_temp,3.0,8,3.76
compact,ep,A,r12_r13_r14_to_temp,3.0,1,24.04
compact,mg,A,r12_r13_r14_to_temp,3.0,4,0.5
scatter,bt,A,r12_r13_r14_to_temp,3.0,2,43.54
compact,cg,A,r12_r13_r14_to_temp,1.0,16,0.14
compact,lu,A,r12_r13_r14_to_temp,2.0,10,7.07
scatter,cg,A,r12_r13_r14_to_temp,3.0,6,0.23
scatter,bt,A,r12_r13_r14_to_temp,2.0,4,24.12
compact,ep,A,r12_r13_r14_to_temp,1.0,14,2.5
scatter,mg,A,r12_r13_r14_to_temp,3.0,8,0.24
compact,mg,A,r12_r13_r14_to_temp,3.0,8,0.32
compact,mg,A,r12_r13_r14_to_temp,1.0,10,0.29
compact,ft,A,r12_r13_r14_to_temp,3.0,2,2.21
compact,mg,A,r12_r13_r14_to_temp,3.0,2,0.96
compact,is,A,r12_r13_r14_to_temp,2.0,8,0.09
scatter,is,A,r12_r13_r14_to_temp,1.0,1,0.36
scatter,bt,A,r12_r13_r14_to_temp,3.0,4,24.13
scatter,is,A,r12_r13_r14_to_temp,2.0,1,0.36
compact,ft,A,r12_r13_r14_to_temp,2.0,4,1.13
compact,ft,A,r12_r13_r14_to_temp,2.0,12,0.52
compact,is,A,r12_r13_r14_to_temp,3.0,1,0.36
compact,bt,A,r12_r13_r14_to_temp,3.0,12,19.38
compact,ep,A,r12_r13_r14_to_temp,1.0,10,3.5
compact,lu,A,r12_r13_r14_to_temp,1.0,10,7.08
compact,sp,A,r12_r13_r14_to_temp,3.0,10,9.1
compact,sp,A,r12_r13_r14_to_temp,3.0,6,12.15
scatter,sp,A,r12_r13_r14_to_temp,2.0,8,5.94
scatter,cg,A,r12_r13_r14_to_temp,2.0,2,0.55
compact,bt,A,r12_r13_r14_to_temp,1.0,14,17.03
scatter,ep,A,r12_r13_r14_to_temp,1.0,2,12.04
compact,ft,A,r12_r13_r14_to_temp,1.0,4,1.13
scatter,ep,A,r12_r13_r14_to_temp,1.0,6,5.04
scatter,bt,A,r12_r13_r14_to_temp,2.0,2,43.6
compact,sp,A,r12_r13_r14_to_temp,2.0,1,31.41
scatter,is,A,r12_r13_r14_to_temp,2.0,8,0.06
compact,ep,A,r12_r13_r14_to_temp,1.0,12,2.93
scatter,sp,A,r12_r13_r14_to_temp,2.0,4,9.21
compact,is,A,r12_r13_r14_to_temp,3.0,6,0.12
compact,is,A,r12_r13_r14_to_temp,1.0,12,0.07
compact,is,A,r12_r13_r14_to_temp,3.0,10,0.08
scatter,ft,A,r12_r13_r14_to_temp,1.0,2,1.37
compact,sp,A,r12_r13_r14_to_temp,3.0,2,31.07
scatter,cg,A,r12_r13_r14_to_temp,2.0,6,0.23
scatter,ft,A,r12_r13_r14_to_temp,3.0,6,0.61
scatter,cg,A,r12_r13_r14_to_temp,2.0,1,1.03
compact,lu,A,r12_r13_r14_to_temp,3.0,8,7.11
scatter,bt,A,r12_r13_r14_to_temp,1.0,4,24.18
compact,ft,A,r12_r13_r14_to_temp,3.0,4,1.13
compact,bt,A,r12_r13_r14_to_temp,1.0,1,86.73
scatter,ep,A,r12_r13_r14_to_temp,1.0,1,24.06
compact,bt,A,r12_r13_r14_to_temp,1.0,8,23.17
